"		1",경기,2021-10-01,15,20.3,28.8,10.6,-2,74,10
"		1",경기,2021-11-01,7.6,13,22.2,3,-7,72,16
"		1",경기,2021-12-01,0.3,5.2,13.6,-4.2,-18.7,64,16
"		1",경기,2022-01-01,-2.5,2.6,10,-7.4,-18.7,59,20
"		1",경기,2022-02-01,-1.4,3.9,11.6,-6.3,-15.6,57,12
"		1",경기,2022-03-01,7,12.4,20.8,2,-8.2,66,8
"		1",경기,2022-04-01,13.6,19.7,30.3,8.1,-2.6,60,9
"		1",경기,2022-05-01,17.9,23.8,31.4,12.1,1.7,61,7
"		1",경기,2022-06-01,22.5,26.9,34,18.7,10.6,76,11
"		1",경기,2022-07-01,26.4,30.4,36.1,23.2,19,81,28
"		1",경기,2022-08-01,25,28.4,33.3,22.2,12.3,85,34
"		1",경기,2022-09-01,21.3,26.7,32.5,17,7.5,74,22
"		1",경기,2022-10-01,13.7,19.3,27.6,9.1,-1.4,73,18
"		1",경기,2022-11-01,9,15,22.4,3.9,-9.4,70,14
"		1",경기,2022-12-01,-3.6,1.1,10.2,-8,-18.8,64,15
"		1",경기,2023-01-01,-2.3,2.7,13.2,-6.9,-20.9,66,18
"		1",경기,2023-02-01,1.5,6.9,14.1,-3.2,-10.5,62,11
"		1",경기,2023-03-01,8.6,15.4,26.4,2.4,-6.5,54,7
"		1",경기,2023-04-01,13,18.5,28.8,7.5,-1.3,62,8
"		1",경기,2023-05-01,18.3,24,32.1,13,3.6,68,15
"		1",경기,2023-06-01,22.4,27,34,18.5,12.8,76,26
"		1",경기,2023-07-01,25.8,29.5,34.9,22.8,18.4,85,39
"		1",경기,2023-08-01,26.4,30.4,35.8,23.2,18.7,81,45
"		1",경기,2023-09-01,22.8,27.1,32.8,19.2,12.5,80,27
"		1",경기,2023-10-01,14.7,20.3,24.6,10,-0.5,74,19
"		1",경기,2023-11-01,6.5,11.4,26.9,2,-9.7,67,10
"		1",경기,2023-12-01,0.6,5,17.9,-3.6,-17.6,72,15
"		7",경남,2020-01-01,4.2,9.4,19.3,0.1,-9.2,64,9
"		7",경남,2020-02-01,5.3,11.1,20.2,0.3,-12,61,5
"		7",경남,2020-03-01,9.3,15.3,24.5,3.5,-6.8,59,6
"		7",경남,2020-04-01,11.9,18.2,26.6,5.8,-3.6,54,6
"		7",경남,2020-05-01,18.1,23.5,29.8,13.4,3.6,71,12
"		7",경남,2020-06-01,22.8,28.3,35.1,18.5,10,75,14
"		7",경남,2020-07-01,22.5,25.9,33.7,20,15,88,42
"		7",경남,2020-08-01,27.1,31.3,37.8,24.1,19.3,85,17
"		7",경남,2020-09-01,20.8,25.4,31.4,17.2,6.3,80,28
"		7",경남,2020-10-01,15.2,21.4,28.1,10.4,0.3,67,8
"		7",경남,2020-11-01,10.1,16,24.6,5,-5,63,9
"		7",경남,2020-12-01,2.3,8.2,15.6,-2.4,-11.8,56,6
